aaaa-mm,tipo_operacion,cantidad_buques,peso_total
1993-01,Supplies,1132,16462.3
2006-03,Repairs,571,3051.45
1995-09,Bunkers,1790,36340.39
2019-01,Bunkers,3546,183768.89
2013-08,Cargo,4183,92525.24
1994-03,Repairs,441,3571.48
2007-06,Others,5455,29962.82
1999-06,Repairs,390,3434
2010-04,Repairs,759,2850.21
2005-08,Repairs,497,3661.14
2008-06,Others,5716,42203.77
2018-04,Repairs,247,2331.96
2001-07,Supplies,1366,23385
2013-12,Repairs,577,2275.83
2011-05,Repairs,649,2932.3
2021-05,Cargo,3493,97117.552
2007-11,Cargo,4626,65297
1999-11,Cargo,4442,41783
2019-03,Others,7421,120659.96
2000-05,Others,7786,21308
2006-02,Cargo,4094,52036.59
2005-06,Repairs,528,3615.82
2013-08,Supplies,2313,83048.27
2010-08,Repairs,754,2467.68
2020-08,Supplies,2467,105582.728
2006-12,Bunkers,2362,77996.34
2009-09,Cargo,4349,70427.45
2011-09,Repairs,686,3299.16
2014-11,Others,6335,106478.97
2009-12,Repairs,605,2465.22
1995-12,Cargo,4261,35558.98
2019-02,Cargo,3291,87563.26
1993-11,Bunkers,1728,31110.56
2019-04,Supplies,2244,88954.194
1996-01,Repairs,348,1839.97
2004-02,Repairs,546,3069.17
1995-03,Cargo,3885,32750.38
2020-10,Repairs,182,2629.836
2012-06,Cargo,4275,85660.56
1998-02,Cargo,4327,37432
2012-10,Others,5871,67941.08
1997-06,Cargo,4890,40271
2014-10,Supplies,2352,77053.67
2019-01,Supplies,2466,100848.9
1994-09,Repairs,417,3260.87
2015-12,Repairs,282,3138.09
2014-06,Bunkers,3074,131433.91
2014-04,Bunkers,3151,135955.4
2021-02,Repairs,184,1576.252
2000-06,Cargo,4721,43307
2013-09,Supplies,2263,80498.94
2006-01,Repairs,455,2071.86
1995-04,Repairs,388,3467.71
1998-03,Others,6447,18003
2020-07,Cargo,3212,93695.231
1993-02,Cargo,3286,25186.6
1997-03,Others,5660,16213
2019-05,Bunkers,3316,164657.145
2018-12,Supplies,2389,95545.98
2010-02,Supplies,1708,49082.65
2010-02,Repairs,668,2923.79
2010-11,Supplies,1815,54007.68
2016-09,Bunkers,3324,147210.22
2017-03,Bunkers,3589,166771.08
2011-03,Bunkers,3216,133250.05
2006-06,Bunkers,2246,72269.08
2017-01,Bunkers,3630,170308.98
2013-09,Cargo,4253,91088.97
1996-06,Bunkers,1792,38431.55
2000-09,Repairs,383,3003
2006-10,Supplies,1553,34467.85
2017-11,Supplies,2506,99138.47
2005-05,Supplies,1332,26799.09
2020-01,Cargo,3852,100833
1995-03,Bunkers,1747,36625.87
2019-08,Repairs,239,3207.477
2006-09,Others,5756,27203.97
2000-12,Cargo,4465,42718
2017-02,Supplies,2505,97300.71
2019-01,Others,7419,127832.23
1999-03,Cargo,4874,42823
2020-01,Others,7728,133669
1998-01,Repairs,411,3018
2012-09,Bunkers,3072,131641.4
2006-05,Bunkers,2321,75624.02
2006-03,Cargo,4711,56885.85
2016-05,Repairs,330,2152.33
2007-09,Repairs,567,3319.45
1993-03,Supplies,1187,16123.04
2002-04,Others,7251,22696.12
1993-03,Others,5142,1331.92
2012-01,Cargo,4106,81510.95
2001-12,Cargo,4352,45651
2018-10,Repairs,248,2726.26
2002-09,Supplies,1393,24097.98
2020-12,Bunkers,3377,181483.21
2020-03,Repairs,209,2030
1999-07,Others,7648,17965
2021-04,Cargo,3523,93406.854
2006-07,Supplies,1501,32540.33
1999-10,Cargo,4636,42543
2008-09,Others,5597,43375.38
2012-10,Cargo,4210,86795.41
1996-09,Bunkers,1636,35147.27
2003-06,Others,6333,18612.33
2014-08,Supplies,2148,76312.43
1994-08,Bunkers,1814,36464.93
2002-01,Others,7527,21332.54
1994-04,Bunkers,1880,36053.06
1996-08,Bunkers,1719,36929.5
2012-12,Repairs,480,2244.78
1997-04,Supplies,1531,20524
2013-03,Repairs,634,2679.16
2001-01,Supplies,1225,23108
2002-01,Repairs,615,3002.29
1993-04,Repairs,354,4086.58
2021-02,Bunkers,3240,174582.581
2014-04,Cargo,4199,91754.02
2017-11,Repairs,260,2289.02
2000-11,Repairs,328,2742
2000-09,Cargo,4551,43050
1997-06,Others,5679,17901
2007-07,Others,5689,31010.86
1998-08,Supplies,1221,19308
2021-01,Bunkers,3593,188012.387
2015-05,Cargo,4174,95362.22
1999-04,Repairs,447,3911
2009-05,Cargo,4576,72410.24
2013-07,Cargo,4432,93567.86
1999-02,Supplies,1277,19836
2005-04,Repairs,517,3015.58
1998-08,Repairs,376,3061
2021-07,Repairs,163,1921.377
2017-08,Bunkers,3334,164375.98
2002-10,Repairs,682,3136.53
2019-11,Repairs,213,2547.964
2000-08,Repairs,423,2911
2002-08,Supplies,1365,26370.67
2017-04,Cargo,4685,101629.38
1999-09,Cargo,4564,41367
2004-12,Repairs,539,3252.3
2003-04,Supplies,1336,26244.49
2002-07,Repairs,655,2932.77
2013-10,Supplies,2296,81356.43
1999-01,Cargo,4658,43898
1994-08,Cargo,4097,33619.29
2000-09,Supplies,1294,24017
2011-07,Others,5749,60201.35
2007-12,Supplies,1716,40817.14
2010-07,Bunkers,3038,118045.08
2016-02,Repairs,248,1664.48
2009-08,Repairs,675,3410.1
1996-02,Cargo,3735,33769.19
2005-04,Cargo,4580,52182.89
1996-03,Others,7271,3116.87
2012-12,Bunkers,3151,134966.82
1999-09,Repairs,380,3579
1993-07,Bunkers,1862,33689.17
1997-11,Bunkers,1765,37939
2014-10,Others,6516,96426.26
2003-03,Cargo,4353,44876.99
2004-12,Supplies,1289,26260.62
2015-10,Cargo,4026,94869.71
2007-11,Bunkers,2406,81249.41
2010-09,Supplies,1688,49819.25
2018-03,Others,7541,120996.96
2013-02,Supplies,1945,70874.34
2009-03,Bunkers,2891,104717.05
1993-08,Supplies,1215,16130.5
2000-11,Supplies,1260,21551
2015-12,Cargo,4037,95050.6
2014-05,Supplies,2373,86591.97
2004-12,Bunkers,2005,57951.65
2004-10,Repairs,564,3639.09
2015-01,Supplies,2410,84562.68
2020-07,Repairs,104,508.753
1999-01,Supplies,1430,24115
2001-04,Repairs,495,3769
2016-12,Supplies,2588,97000.86
2000-02,Cargo,3888,38039
1999-01,Others,7548,19119
2012-08,Cargo,4231,88789.57
2010-02,Bunkers,2700,103959.66
2010-01,Bunkers,2900,108121.35
2017-02,Others,6271,101283.7
2013-11,Supplies,2197,77771.89
2003-05,Cargo,4509,46978.5
1995-08,Bunkers,1830,37355.56
2011-04,Repairs,607,2991.33
2014-09,Repairs,335,3012.3
1994-05,Others,5974,2042.48
2001-12,Supplies,1367,25010
2015-06,Supplies,2474,90149.6
2012-04,Supplies,1982,67632.4
2014-05,Cargo,4288,95358.04
1999-04,Bunkers,1721,43123
2004-06,Cargo,4532,49987.52
2016-11,Supplies,2499,95743.11
2020-12,Cargo,3588,97265.13
1995-02,Cargo,3321,30650.85
2007-12,Others,5704,34713.24
2014-07,Repairs,494,3401.57
2001-10,Others,7822,24357
2021-10,Supplies,2168,100926.952
2016-05,Cargo,4094,102507.12
1993-02,Repairs,300,2567.35
1997-08,Repairs,345,3115
2003-01,Cargo,4264,44498.1
2002-12,Repairs,618,3215.06
1997-04,Cargo,4749,39281
2019-07,Bunkers,3348,167979.863
2001-01,Others,7755,20099
1996-08,Repairs,393,3610.05
2003-07,Supplies,1390,26033.93
2015-04,Bunkers,3384,147924.59
2017-06,Supplies,2520,97159.3
2017-01,Supplies,2828,106946.46
2001-09,Repairs,602,3393
2010-03,Others,5661,54346
2015-10,Supplies,2473,91254.2
2008-11,Repairs,523,4367.32
2011-07,Cargo,4537,83694.21
1999-08,Others,7520,19172
2004-04,Supplies,1333,25244.5
2017-12,Cargo,5003,115331.78
2018-08,Bunkers,3128,156906.76
1995-02,Others,5467,2685.79
1996-03,Cargo,4502,38756.63
2009-03,Others,5649,45663.51
2018-11,Others,7193,122674.21
1999-05,Repairs,405,4923
2015-03,Repairs,407,3186.39
2009-05,Bunkers,2891,109893.16
2009-08,Others,5794,46935.05
2018-10,Others,7598,125676.08
2015-04,Cargo,4132,94582.97
1997-10,Supplies,1526,22679
1993-11,Cargo,3686,30333.97
1998-02,Others,5805,15401
2019-05,Others,7598,126929.178
2013-07,Bunkers,3412,151297.58
2013-10,Bunkers,3238,141813.39
2019-06,Bunkers,3284,164074.099
2011-05,Others,5418,59101.24
2002-10,Others,7746,20651.98
2011-08,Bunkers,3230,134135.46
2010-01,Others,5581,47737.35
1994-02,Supplies,1079,15769.58
2000-06,Supplies,1283,22403
1993-03,Repairs,380,3255.42
1995-09,Supplies,1293,16483.55
1994-03,Bunkers,1918,35447.32
2009-06,Bunkers,2622,97184.95
2018-10,Cargo,3900,100211.94
2011-03,Cargo,4438,80646.73
2014-09,Others,6197,99703.16
2017-02,Repairs,270,2273.51
2007-06,Supplies,1505,36429.93
1998-12,Cargo,4876,43141
2005-08,Others,5917,23251.21
2011-08,Supplies,1904,62489.8
1997-06,Bunkers,1747,37919
2007-07,Repairs,498,2805.23
2013-09,Bunkers,3273,145591.02
1995-07,Repairs,344,3366.29
2004-08,Cargo,4576,50070.15
2004-02,Bunkers,1692,48433.08
1997-07,Cargo,5177,41512
2019-10,Supplies,2518,105253.753
2013-11,Cargo,4117,89203.09
1999-11,Others,6889,19163
1994-04,Others,5618,1754.49
1994-04,Repairs,419,3868.81
2000-01,Supplies,1320,23718
2006-08,Cargo,4711,59964.31
1997-01,Bunkers,1808,40446
1995-08,Others,5862,2526.7
2017-09,Repairs,272,2765.63
2021-08,Others,2022,54526.284
2008-09,Supplies,1626,40985
2005-03,Repairs,572,3736.01
2005-12,Others,5751,23743.17
1999-10,Repairs,381,2616
2006-09,Supplies,1610,36739.81
2012-04,Others,5756,66958.45
2016-08,Others,6866,108050.41
2021-06,Cargo,3456,89571.842
2001-06,Bunkers,1741,46964
1993-06,Cargo,3672,29083.45
2014-10,Bunkers,3252,137705.89
2001-02,Bunkers,1587,40236
2011-02,Supplies,1703,52952.02
1994-07,Cargo,4112,32412.87
2006-10,Cargo,4533,59502.53
2013-12,Cargo,4216,91056.18
1999-03,Others,7545,19391
2010-07,Supplies,1882,52566.21
2005-06,Others,5835,22176.85
2012-04,Repairs,572,2417.65
2001-06,Others,7813,22524
1999-04,Others,7286,19816
1993-10,Bunkers,1798,30443.91
2000-07,Cargo,4783,43770
2013-04,Bunkers,3236,139943.46
2005-07,Others,5930,22366.9
2019-03,Repairs,215,1603.03
2011-09,Others,5427,58958.03
2009-08,Cargo,4570,73430.13
2016-07,Repairs,296,3053.94
2010-12,Cargo,4511,79712.16
2006-11,Supplies,1602,36287.59
2020-01,Bunkers,3591,194552
2010-05,Cargo,4421,75692.37
2003-05,Bunkers,1785,50061.05
1993-10,Repairs,425,4530.37
1996-04,Supplies,1394,19189.61
2015-06,Bunkers,3246,139840.64
2012-11,Repairs,534,3859.85
2019-06,Supplies,2263,88660.167
2015-09,Bunkers,3385,148061.59
2012-10,Supplies,2097,71574.65
1996-04,Repairs,391,3142.31
2003-03,Supplies,1378,25470.71
2012-09,Supplies,2003,69077.86
1998-08,Bunkers,1779,43046
2016-04,Cargo,4019,98864.38
2011-09,Cargo,4240,81407.59
2009-09,Supplies,1699,48396.64
1995-01,Others,6348,2657.3
1997-12,Repairs,384,2560
1993-11,Others,5384,1163.98
2001-05,Repairs,609,3897
2013-12,Others,6772,80582.41
2017-10,Repairs,297,2589.35
2021-04,Repairs,198,2553.507
2013-10,Others,6774,80209.82
2013-01,Others,6486,70166.61
2009-01,Cargo,4357,70772.44
1996-11,Bunkers,1670,36951.98
2004-05,Cargo,4614,50262.24
2011-04,Others,5332,54728.91
2014-03,Bunkers,3275,145000.61
2006-07,Bunkers,2218,69366.67
1995-07,Bunkers,1870,37770.03
2018-02,Cargo,4156,103487.81
2003-10,Bunkers,1801,49995
2002-02,Cargo,3863,39492.94
2003-09,Bunkers,1799,50592.86
2015-04,Others,6210,107689.29
2008-07,Bunkers,2677,90485.95
2002-03,Supplies,1467,26045.82
2012-10,Bunkers,3217,139474.06
2018-08,Repairs,223,2591.05
2020-09,Others,7767,57730.527
2015-09,Cargo,3970,94524.54
2009-11,Cargo,4226,71507.04
2021-10,Bunkers,3165,173413.732
2009-07,Supplies,1791,47884.34
2010-10,Supplies,1781,53027.17
1996-08,Supplies,1423,19444.21
1995-12,Supplies,1302,20030.52
2018-03,Repairs,275,2907.81
2015-12,Supplies,2560,91345.05
2000-10,Cargo,4674,44224
2017-04,Supplies,2643,96409.49
2017-09,Others,7109,115773.73
1999-02,Bunkers,1638,38788
1993-07,Supplies,1261,17255.72
1999-10,Others,7079,18425
1997-05,Others,5650,16141
2019-02,Supplies,2240,91744.85
2018-07,Supplies,2369,88120.3
2021-10,Repairs,114,1431.51
2010-11,Others,5183,56219.44
2007-05,Others,5504,28527.49
2017-10,Cargo,4848,110067.07
2009-03,Supplies,1771,46694.99
2003-01,Bunkers,1866,55929.17
1998-04,Cargo,4578,39869
2006-03,Bunkers,2320,73645.82
2020-10,Supplies,2493,105819.459
2019-07,Others,7584,130461.88
1998-12,Supplies,1285,22575
1996-06,Repairs,417,4115.33
2014-05,Repairs,774,4644.4
2001-10,Supplies,1322,25770
2013-06,Bunkers,3227,137732.61
2007-05,Repairs,449,3256.57
1994-06,Cargo,3967,31530.66
1995-06,Cargo,3946,33364.92
2009-05,Repairs,603,3659.39
1996-10,Others,7929,2369.21
2000-09,Bunkers,1780,45690
1996-11,Supplies,1406,19248.82
2016-03,Cargo,4123,96198.81
1999-03,Repairs,416,3754
2002-01,Cargo,4513,44203.29
2014-02,Repairs,538,2387.48
1998-02,Supplies,1328,20611
2002-04,Repairs,718,3616.56
1994-09,Cargo,4142,32885.61
2008-02,Repairs,505,2032.61
1996-12,Cargo,4692,38782.3
1993-06,Supplies,1122,15213.96
2014-02,Bunkers,2891,129866.58
1997-08,Supplies,1590,21577
2011-01,Supplies,1880,57736.32
2013-07,Supplies,2311,86508.91
2005-02,Bunkers,1771,51014.6
2005-12,Supplies,1464,30947.21
2003-11,Supplies,1295,25368.07
2004-04,Bunkers,1814,52969.11
1994-04,Supplies,1249,17535.4
1999-02,Cargo,4115,37778
2005-11,Others,5571,24462.78
2017-08,Repairs,293,2731.41
2006-05,Others,5833,23998.5
2002-02,Bunkers,1614,43078.2
2000-10,Bunkers,1820,48299
2017-02,Bunkers,3218,151382.12
2012-02,Supplies,1884,62001.92
2008-12,Others,5710,44704.12
1995-12,Others,7027,2758.49
2002-04,Supplies,1382,27269.4
1995-05,Supplies,1344,19728.79
2014-03,Supplies,2306,84928.58
2008-06,Repairs,490,3965.83
1994-07,Repairs,463,3639.93
2004-08,Bunkers,1938,56220.79
2018-06,Supplies,2271,90695.74
2010-08,Others,5369,48553.28
2003-02,Repairs,559,3011.45
2018-02,Supplies,2252,88275.6
2018-08,Others,7411,118344.23
2009-05,Others,5605,47900.29
2008-04,Others,5773,42052.75
2008-05,Supplies,1745,42988.23
2019-03,Bunkers,3320,163425.42
2011-07,Supplies,1903,60213.81
2019-09,Repairs,223,3476.927
2011-08,Cargo,4426,84555.25
2005-10,Others,5898,24204.57
2014-09,Cargo,4136,92333.58
2001-03,Repairs,495,2878
2012-02,Repairs,560,2403.64
2011-12,Supplies,1989,66828.78
2000-01,Others,7085,18497
2017-02,Cargo,3826,86870.05
2002-04,Bunkers,1789,50786.47
1997-07,Others,5844,17389
2011-05,Cargo,4318,81633.64
1997-01,Supplies,1508,20499
1994-06,Repairs,387,3577.37
1998-05,Repairs,384,2949
1995-06,Bunkers,1744,35339.28
2009-07,Repairs,668,3765.25
2004-01,Others,6791,18571.81
1997-09,Cargo,4917,40300
2014-10,Cargo,4220,92459.81
2015-04,Supplies,2606,91859.3
1997-02,Others,4836,13569
1999-09,Bunkers,1799,44733.27
2006-04,Repairs,517,3415.71
2010-12,Others,5548,55073.15
2000-02,Others,6885,20875
1994-12,Others,6335,2336.29
2004-11,Supplies,1252,26013.83
2018-01,Bunkers,3472,170064
2011-11,Repairs,742,3130.74
1994-06,Supplies,1175,16033.22
2020-09,Repairs,223,1109.892
2016-07,Others,6791,104385.3
1999-03,Supplies,1413,22304
2014-04,Others,6458,79448.97
2018-07,Cargo,3974,103571.29
2006-04,Others,5738,24223.31
1996-03,Supplies,1452,20856.79
2017-11,Cargo,4848,110659.23
2017-04,Bunkers,3495,161290.03
2014-04,Repairs,707,4404.2
2003-08,Bunkers,1866,55755.65
1993-02,Supplies,1030,14288.14
2006-01,Cargo,4327,56324.78
2001-02,Others,7160,18354
2016-12,Others,6949,102216.39
2004-05,Repairs,572,3300.69
1993-05,Cargo,3790,29180.19
1997-03,Supplies,1480,18346
2008-07,Supplies,1740,42280.74
2008-05,Repairs,557,4623.88
2017-09,Supplies,2477,100109.99
2008-06,Bunkers,2482,85480.82
2009-12,Bunkers,2732,104834.1
2000-04,Supplies,1326,23448
1993-01,Others,5126,1158.03
2009-01,Others,5579,46288.67
2016-02,Cargo,3730,91768.35
1999-02,Others,6505,16201
1994-05,Bunkers,1907,36045.44
2005-08,Cargo,4566,55178.19
2017-06,Others,7120,111644.71
2004-05,Bunkers,1855,54565.02
2018-09,Repairs,228,2481.6
2009-12,Cargo,4464,72602.24
1999-01,Bunkers,1853,46032.85
1996-10,Bunkers,1741,36186.7
1996-12,Bunkers,1692,36362.94
2017-06,Cargo,4684,105125.54
2000-10,Others,7944,24359
1993-06,Repairs,366,3988.23
2001-12,Repairs,554,3473
2004-03,Bunkers,1908,54615.46
2016-08,Repairs,354,2884.9
2004-02,Cargo,4319,45759.62
2013-09,Repairs,547,3519.2
2001-07,Cargo,4827,45159
2005-08,Bunkers,2155,67564.88
1995-08,Supplies,1366,18399.9
2000-02,Repairs,363,3047
2017-03,Repairs,342,3947.1
2020-08,Others,1718,48146.637
1994-09,Supplies,1280,18301.23
2012-07,Repairs,508,2928.1
1997-10,Bunkers,1849,41492
2008-05,Cargo,4909,73900.34
1993-03,Cargo,3677,29227.04
2016-10,Repairs,363,2992.64
2001-03,Bunkers,1810,47712
2019-10,Others,7872,134004.83
2003-12,Bunkers,1773,51502.26
2020-01,Repairs,230,2865
2017-01,Cargo,4175,98641.02
2010-12,Repairs,714,2498.1
2017-05,Bunkers,3513,170843.47
2008-12,Bunkers,2733,94209.66
2007-11,Supplies,1601,40245.64
2020-07,Supplies,2656,114460.148
1995-05,Repairs,413,3296.89
1999-04,Supplies,1420,24280
2019-02,Repairs,224,1513.55
2001-11,Supplies,1320,24218
2018-03,Bunkers,3414,162906.39
2017-11,Bunkers,3203,157481.03
2010-10,Cargo,4413,79312.47
2003-11,Cargo,4478,46726.57
2011-07,Repairs,700,3645.75
1995-05,Others,6158,2431.03
1995-11,Bunkers,1731,36171.33
2015-02,Repairs,371,2654.9
1996-01,Cargo,4361,37520.47
2012-03,Bunkers,3199,138156.98
2013-03,Cargo,4237,84420.32
2002-02,Repairs,498,3077.73
2004-01,Cargo,4367,48201.84
2021-03,Bunkers,3461,180824.745
2012-11,Bunkers,3234,137890.43
2018-11,Cargo,3691,99206.2
2004-07,Cargo,4688,50818.19
2009-09,Others,5612,46164.14
2018-03,Cargo,4701,109373.79
2008-03,Bunkers,2742,95116.09
2003-01,Repairs,684,3501.9
1996-12,Supplies,1412,18676.8
2009-06,Others,5565,44116.45
2006-09,Bunkers,2297,74234.05
2001-11,Others,7444,23980
2020-02,Repairs,248,2347
1996-07,Bunkers,1800,38519.46
2012-08,Repairs,538,3001.47
2016-07,Supplies,2610,94442.93
1999-07,Repairs,345,2885
2011-03,Supplies,1963,62485.04
2016-05,Others,7110,111135.52
1994-11,Supplies,1243,16106
2013-01,Supplies,2118,72458.17
2021-06,Bunkers,3242,170618.645
2003-08,Cargo,4412,47238.24
1998-09,Others,7116,18163
2006-06,Cargo,4467,57451.37
2017-01,Repairs,284,1736.72
1996-01,Supplies,1397,19093.83
2009-03,Cargo,4594,72395.5
2005-02,Supplies,1148,21893.41
1994-12,Supplies,1340,17882.93
2015-11,Cargo,3915,91168.12
2015-08,Cargo,4109,98977.18
1995-05,Cargo,3896,34463.59
1994-04,Cargo,3905,30789.35
2000-04,Cargo,4519,42278
1997-06,Repairs,373,3425
2009-07,Cargo,4746,73270.19
1996-11,Cargo,4645,37946.04
2004-06,Bunkers,1854,53856.9
2017-12,Others,7261,113942.43
2006-12,Supplies,1561,33114.13
1997-10,Cargo,5014,41573
1999-08,Supplies,1335,21034
2020-05,Repairs,85,512.071
2014-06,Cargo,4174,91606.83
2007-10,Others,5762,34297.47
2004-11,Repairs,522,2528.68
2001-09,Others,7541,23142
2004-09,Bunkers,1933,55788.1
2003-06,Cargo,4332,45869.91
2015-01,Cargo,4314,94972.29
2018-12,Bunkers,3465,172427.04
2011-01,Bunkers,3228,128614.52
2020-04,Cargo,3350,94467.21
2020-10,Others,2459,79226.782
2011-11,Bunkers,3118,128708.85
2017-12,Supplies,2531,99155.74
2020-11,Cargo,3459,93875.746
2013-05,Cargo,4262,89597.51
2000-07,Others,7992,23814
2015-08,Bunkers,3670,163843.49
1996-01,Others,6959,2355.09
2015-12,Others,6690,106162.35
2012-06,Bunkers,3122,139370.16
2008-08,Supplies,1749,44398.01
2008-01,Cargo,4823,69455.83
2016-01,Supplies,2686,96248.9
1993-03,Bunkers,1742,31493.16
2016-10,Cargo,4330,95445.95
2020-06,Repairs,108,373.511
2021-01,Supplies,2588,112207.38
1998-10,Others,7172,17662
1995-06,Others,6058,2325.34
2002-06,Bunkers,1734,48027.83
1994-01,Repairs,372,2413.51
1999-11,Bunkers,1714,41888
2008-03,Repairs,549,4192.06
1998-01,Bunkers,1932,46620
2016-08,Cargo,4242,99991.97
1997-02,Repairs,338,2090
1993-05,Supplies,1144,16498.19
2021-03,Others,2398,69091.022
2002-08,Repairs,625,3480.55
1998-11,Cargo,4833,42155
2014-01,Others,6675,83043.11
2008-11,Cargo,4583,72550.75
2013-01,Bunkers,3317,143233.86
2007-12,Cargo,4672,68058
2003-08,Others,6759,21176.36
2021-07,Others,2035,53901.757
2000-03,Repairs,406,3176
1994-03,Others,5923,2401.94
2000-04,Others,7495,18814
2012-07,Others,5884,68904.01
2019-12,Cargo,3906,98924.611
2018-05,Repairs,224,2723.12
2016-11,Cargo,4387,94507.48
1994-10,Repairs,397,3255.18
2006-09,Cargo,4738,59069.17
2021-06,Supplies,2169,94242.532
2009-04,Supplies,1702,45254.54
2015-06,Others,6426,99595.43
1995-03,Others,6063,2980.11
2020-02,Bunkers,3188,166754
2018-01,Supplies,2576,101009.89
2020-10,Bunkers,3396,178560.408
2016-06,Supplies,2648,95631.29
2017-08,Cargo,4266,106321.14
1998-07,Bunkers,1874,46381
